Lenlab red 7.5 Voltmeter-Daten
Zeit;Kanal_4
0;0.493066
0.1;0.4979
0.2;0.493066
0.3;0.499512
0.4;0.497095
0.5;0.497095
0.6;0.494678
0.7;0.500317
0.8;0.497095
0.9;0.4979
1;0.498706
1.1;0.500317
1.2;0.494678
1.3;0.497095
1.4;0.497095
1.5;0.497095
1.6;0.498706
1.7;0.498706
1.8;0.495483
1.9;0.499512
2;0.496289
2.1;0.496289
2.2;0.496289
2.3;0.500317
2.4;0.494678
2.5;0.495483
2.6;0.493066
2.7;0.493066
2.8;0.492261
2.9;0.494678
3;0.493872
3.1;0.490649
3.2;0.497095
3.3;0.497095
3.4;0.490649
3.5;0.492261
3.6;0.493872
3.7;0.490649
3.8;0.489038
3.9;0.489038
4;0.486621
4.1;0.492261
4.2;0.488232
4.3;0.487427
4.4;0.489038
4.5;0.489038
4.6;0.489038
4.7;0.487427
4.8;0.484204
4.9;0.483398
5;0.487427
5.1;0.485815
5.2;0.481787
5.3;0.482593
5.4;0.484204
5.5;0.483398
5.6;0.481787
5.7;0.481787
5.8;0.480981
5.9;0.48501
6;0.480176
6.1;0.47937
6.2;0.483398
6.3;0.480981
6.4;0.480176
6.5;0.480176
6.6;0.478564
6.7;0.476147
6.8;0.47937
6.9;0.476147
7;0.477759
7.1;0.47373
7.2;0.476953
7.3;0.474536
7.4;0.476953
7.5;0.472119
7.6;0.472925
7.7;0.474536
7.8;0.472925
7.9;0.47373
8;0.469702
8.1;0.47373
8.2;0.471313
