Lenlab red 7.5 Voltmeter-Daten
Zeit;Kanal_4
0;0.108765
0.1;0.111182
0.2;0.108765
0.3;0.111987
0.4;0.110376
0.5;0.107153
0.6;0.107959
0.7;0.111182
0.8;0.114404
0.9;0.111182
1;0.110376
1.1;0.110376
1.2;0.108765
1.3;0.10957
1.4;0.107153
1.5;0.108765
1.6;0.112793
1.7;0.107153
1.8;0.107153
1.9;0.111182
2;0.10957
2.1;0.107959
2.2;0.110376
2.3;0.111182
2.4;0.107959
2.5;0.10957
2.6;0.111987
2.7;0.110376
2.8;0.105542
2.9;0.105542
3;0.108765
3.1;0.110376
3.2;0.105542
3.3;0.112793
3.4;0.106348
3.5;0.111182
3.6;0.107959
3.7;0.10957
3.8;0.107153
3.9;0.111987
4;0.107959
4.1;0.110376
4.2;0.107959
4.3;0.111182
4.4;0.111182
4.5;0.111182
4.6;0.106348
4.7;0.107959
4.8;0.111182
4.9;0.104736
5;0.108765
5.1;0.107959
5.2;0.107959
5.3;0.107153
5.4;0.10957
5.5;0.106348
5.6;0.105542
5.7;0.106348
5.8;0.105542
5.9;0.110376
6;0.108765
6.1;0.108765
6.2;0.110376
6.3;0.105542
6.4;0.107959
6.5;0.111987
6.6;0.107959
6.7;0.107153
6.8;0.111182
6.9;0.111987
7;0.110376
7.1;0.107959
7.2;0.107959
7.3;0.105542
7.4;0.105542
7.5;0.111182
7.6;0.105542
7.7;0.107959
7.8;0.107959
7.9;0.107959
8;0.105542
8.1;0.107959
